Bank Account,Date,Narrative,Debit Amount,Credit Amount,Categories,Serial
033152468666,29/09/2017,WITHDRAWAL ONLINE 1562538 PYMT ZILOLAKHON 68472,9900,,PAYMENT,
033152468666,29/09/2017,WITHDRAWAL ONLINE 1543542 PYMT SEUNG WON 68471,9900,,PAYMENT,
033152468666,02/10/2017,DEPOSIT LEE RICHARD ANTH        14111,,1000,DEP,
033152468666,02/10/2017,DEPOSIT MR ANDREW JAMES        14162,,1000,DEP,
033152468666,17/08/2017,WITHDRAWAL MOBILE 1363663 PYMT AHL NAB Peak International,4800000.58,,PAYMENT,
033152468666,28/07/2017,WITHDRAWAL ONLINE 1709199 PYMT GHH HOLDIN 50653 PI,499999.99,,PAYMENT,
033152468666,26/07/2017,REVERSAL OF DEPOSIT DUE TO CHEQUE/S UNPAID 250717 NAB MARRICKVILLE     nana,9250,,CASH,
033152468666,22/08/2017,MISTAKEN INTERNET PAYMENT DEBIT 210817 EDQLR766,369,,DEBIT,
033152468666,22/08/2017,"WITHDRAWAL ONLINE 1249314 PYMT Lucas, Oswa 56465",99,,PAYMENT,
033152468666,22/08/2017,WITHDRAWAL ONLINE 1232636 PYMT Feng Yi Ch 56620,9900,,PAYMENT,
033152468666,02/08/2017,FEE FOR OVERSEAS TELEGRAPHIC TRANSFER,80,,FEE,
